source_school_name,normalized_school_name,possible_match_1,possible_match_1_sveitarfelag,possible_match_1_score,possible_match_2,possible_match_2_sveitarfelag,possible_match_2_score,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,notes
Grunnskólinn í Breiðdalshreppi,grunnskolinn i breiddalshreppi,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Grunnskólinn í Búðardal,grunnskolinn i budardal,Grunnskólinn í Hofgarði,Sveitarfélagið Hornafjörður,0.783,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Grunnskólinn í Grímsey/Grímseyjarskóli,grunnskolinn i grimsey grimseyjarskoli,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Grunnskólinn í Ólafsfirði,grunnskolinn i olafsfirdi,Grunnskólinn á Ísafirði,Ísafjarðarbær,0.850,Grunnskólinn í Hofgarði,Sveitarfélagið Hornafjörður,0.833,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Grunnskólinn í Ólafsvík,grunnskolinn i olafsvik,Grunnskólinn á Hólmavík,Strandabyggð,0.895,Grunnskólinn í Bolungarvík,Bolungarvík,0.857,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Grunnskólinn í Svalbarðshreppi/Svalbarðsskóli,grunnskolinn i svalbardshreppi svalbardsskoli,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Grunnskólinn Ljósaborg,grunnskolinn ljosaborg,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Grunnskólinn Tjarnarlundi,grunnskolinn tjarnarlundi,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Háaleitisskóli - Álftamýri,haaleitisskoli alftamyri,,,,,,,true,true,true,false,false,No exact or high-confidence fuzzy match accepted.
Háaleitisskóli - Reykjanesbæ,haaleitisskoli reykjanesbae,,,,,,,true,true,true,false,false,No exact or high-confidence fuzzy match accepted.
Háaleitisskóli (Reykjanesbæ),haaleitisskoli reykjanesbae,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Hafnarskóli,hafnarskoli,Arnarskóli,Kópavogsbær,0.857,Hagaskóli,Reykjavíkurborg,0.800,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Hafralækjarskóli,hafralaekjarskoli,Lækjarskóli,Hafnarfjarðarkaupstaður,0.828,Laugalækjarskóli,Reykjavíkurborg,0.824,true,true,true,true,true,No exact or high-confidence fuzzy match accepted.
Hallormsstaðaskóli,hallormsstadaskoli,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Hamarsskóli Vestmannaeyjum,hamarsskoli vestmannaeyjum,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Heiðarskóli - Hvalfjarðarsveit,heidarskoli hvalfjardarsveit,,,,,,,true,false,false,false,false,No exact or high-confidence fuzzy match accepted.
Heiðarskóli (Hvalfjarðarsveit),heidarskoli hvalfjardarsveit,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Heiðarskóli - Reykjanesbæ,heidarskoli reykjanesbae,,,,,,,true,true,true,false,false,No exact or high-confidence fuzzy match accepted.
Heiðarskóli (Reykjanesbæ),heidarskoli reykjanesbae,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Heppuskóli,heppuskoli,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Hjallaskóli,hjallaskoli,Vallaskóli,Sveitarfélagið Árborg,0.857,Hagaskóli,Reykjavíkurborg,0.800,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Hlíðarhúsaskóli,hlidarhusaskoli,Hlíðarskóli,Akureyrarkaupstaður,0.846,Hlíðaskóli,Reykjavíkurborg,0.800,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Hlíðarskóli Akureyri,hlidarskoli akureyri,,,,,,,true,false,false,false,false,No exact or high-confidence fuzzy match accepted.
Hrollaugsstaðaskóli,hrollaugsstadaskoli,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Húnavallaskóli,hunavallaskoli,Hraunvallaskóli,Hafnarfjarðarkaupstaður,0.897,Vallaskóli,Sveitarfélagið Árborg,0.833,true,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Húsabakkaskóli,husabakkaskoli,Húsaskóli,Reykjavíkurborg,0.783,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Kelduskóli,kelduskoli,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Kelduskóli - Vík,kelduskoli vik,,,,,,,true,false,true,false,false,No exact or high-confidence fuzzy match accepted.
Kerhólsskóli,kerholsskoli,Kerhólsskól,Grímsnes- og Grafningsher.,0.957,Hvolsskóli,Rangárþing eystra,0.818,true,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Kleppjárnsreykjaskóli,kleppjarnsreykjaskoli,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Kópaskersskóli,kopaskersskoli,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Korpuskóli,korpuskoli,Kóraskóli,Kópavogsbær,0.842,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Laugalandsskóli í Holtum,laugalandsskoli i holtum,,,,,,,true,false,true,true,true,No exact or high-confidence fuzzy match accepted.
Laugargerðisskóli,laugargerdisskoli,Laugarnesskóli,Reykjavíkurborg,0.839,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Litlulaugaskóli,litlulaugaskoli,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Ljósafossskóli,ljosafossskoli,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Lýsuhólsskóli,lysuholsskoli,Álfhólsskóli,Kópavogsbær,0.800,Hvolsskóli,Rangárþing eystra,0.783,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Meðferðarheimilið á Torfastöðum,medferdarheimilid a torfastodum,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Nesjaskóli,nesjaskoli,Nesskóli,Fjarðabyggð,0.889,Engjaskóli,Reykjavíkurborg,0.800,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
NÚ - framsýn menntun,nu framsyn menntun,,,,,,,true,false,true,false,false,No exact or high-confidence fuzzy match accepted.
Öskjuhlíðarskóli,oskjuhlidarskoli,Hlíðarskóli,Akureyrarkaupstaður,0.815,Reykjahlíðarskóli,Skútustaðahreppur,0.788,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
