source_school_name,normalized_school_name,possible_match_1,possible_match_1_sveitarfelag,possible_match_1_score,possible_match_1_recent_10th_grade_count,possible_match_2,possible_match_2_sveitarfelag,possible_match_2_score,possible_match_2_recent_10th_grade_count,althingi_graduate_count,size_evidence_note,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,notes
Grunnskólinn að Hólum,grunnskolinn ad holum,Grunnskólinn á Hellu,Rangárþing ytra,0.878,11,Grunnskólinn á Hólmavík,Strandabyggð,0.864,3,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn Hofsósi,grunnskolinn hofsosi,Grunnskólinn í Hofgarði,Sveitarfélagið Hornafjörður,0.811,0,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn í Austur-Landeyjum,grunnskolinn i austur landeyjum,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn í Breiðdalshreppi,grunnskolinn i breiddalshreppi,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn í Búðardal,grunnskolinn i budardal,Grunnskólinn í Hofgarði,Sveitarfélagið Hornafjörður,0.783,0,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn í Grímsey/Grímseyjarskóli,grunnskolinn i grimsey grimseyjarskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn í Ólafsfirði,grunnskolinn i olafsfirdi,Grunnskólinn á Ísafirði,Ísafjarðarbær,0.850,33,Grunnskólinn í Hofgarði,Sveitarfélagið Hornafjörður,0.833,0,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn í Ólafsvík,grunnskolinn i olafsvik,Grunnskólinn á Hólmavík,Strandabyggð,0.895,3,Grunnskólinn í Bolungarvík,Bolungarvík,0.857,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn í Svalbarðshreppi/Svalbarðsskóli,grunnskolinn i svalbardshreppi svalbardsskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn Ljósaborg,grunnskolinn ljosaborg,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
