year,svnr,sveitarfelag_source,sveitarfelag_harmonized,sveitarfelag_harmonization_status,sveitarfelag_harmonization_note,grunnskoli,grade_span,school_size_group,student_count,tekjur,laun_og_launtengd_gjold,annar_kostnadur_samtals,annar_kostnadur_an_innri_leigu_og_skolaakstur,innri_husaleiga_eignasjodur,skolaakstur,kostnadur_brutto,kostnadur_netto
2024,1100,Seltjarnarnesbær,Seltjarnarnesbær,unchanged,No project-local harmonization needed; carried forward as current/source name.,Grunnskóli Seltjarnarness,1-10,501 - 600,584,-11154196,1106823775,385247126,221311585,163935541,,1492070901,1480916705
2024,5716,Skagafjörður,Skagafjörður,unchanged,No project-local harmonization needed; carried forward as current/source name.,Grunnskólinn austan vatna,1-10,51 - 100,58,-25762660,235709310,135349262,45345274,35922480,54081508,371058572,345295912
2024,5716,Skagafjörður,Skagafjörður,unchanged,No project-local harmonization needed; carried forward as current/source name.,Varmahlíðaskóli,1-10,101 - 200,112,-34951010,307095824,194569261,47747918,74145780,72675563,501665085,466714075
2024,5716,Skagafjörður,Skagafjörður,unchanged,No project-local harmonization needed; carried forward as current/source name.,Árskóli,1-10,301 - 400,387,-36273240,822675202,322677832,137019588,156044880,29613364,1145353034,1109079794
2024,8720,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,unchanged,Already current for project joins.,Þjórsárskóli,1-8,51 - 100,52,-4767813,144330696,183353380,119074257,13168632,51110491,327684076,322916263
2024,3714,Snæfellsbær,Snæfellsbær,unchanged,Already current for project joins.,Grunnskóli Snæfellsbæjar,1-10,201 - 300,219,-22181190,611791912,182931903,98187746,43229352,41514805,794723815,772542625
2024,4911,Strandabyggð,Strandabyggð,unchanged,Already current for project joins.,Grunnskólinn Hólmavík,1-10,21 - 50,38,-6164608,132545409,33290148,20539148,12751000,,165835557,159670949
2024,2510,Suðurnesjabær,Suðurnesjabær,unchanged,Already current for project joins.,Gerðaskóli,1-10,201 - 300,251,-3720942,595706983,192782645,80464649,112317996,,788489628,784768686
2024,2510,Suðurnesjabær,Suðurnesjabær,unchanged,Already current for project joins.,Sandgerðisskóli,1-10,301 - 400,307,-4447597,713610126,211220525,116896041,94265004,59480,924830651,920383054
2024,6601,Svalbarðsstrandarhreppur,Svalbarðsstrandarhreppur,unchanged,Already current for project joins.,Valsárskóli,1-10,51 - 100,61,-1459105,173730863,85486712,24977629,53900000,6609083,259217575,257758470
2024,8401,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,unchanged,Already current for project joins.,Grunnskóli Hornafjarðar,1-10,201 - 300,243,-2471407,569108770,168054904,48240565,75249000,44565339,737163674,734692267
