source_school_name,canonical_school_name,sveitarfelag_harmonized,sveitarfelag_source,mapping_priority,match_status,match_confidence,match_source,graduate_count,average_grunnskoli_icelandic_grade,average_grunnskoli_math_grade,framhaldsskoli_grunnskoli_row_count,framhaldsskoli_grunnskoli_student_count,has_graduates_table_row,has_grades_by_grunnskoli_row,has_framhaldsskoli_grunnskoli_rows,is_excluded_group_or_aggregate,notes,source_url,source_note
Grunnskólinn á Þingeyri,Grunnskólinn Þingeyri,Ísafjarðarbær,Ísafjarðarbær,analysis_required,matched_rule,1.000,samband_grunnskolar_excel_alias,2,,,0,,true,false,false,false,"Matched by conservative alias rule: slash, parenthetical, or Grunnskólinn/Grunnskóli variant.",https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskólinn á Þórshöfn,Grunnskólinn á Þórshöfn,Langanesbyggð,Langanesbyggð,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,3,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskólinn í Borgarnesi,Grunnskólinn Borgarnesi,Borgarbyggð,Borgarbyggð,analysis_required,matched_rule,1.000,samband_grunnskolar_excel_alias,17,3.2,3.3,1,14,true,true,true,false,"Matched by conservative alias rule: slash, parenthetical, or Grunnskólinn/Grunnskóli variant.",https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskólinn í Hveragerði,Grunnskólinn í Hveragerði,Hveragerðisbær,Hveragerðisbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,17,3.0,3.2,1,8,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskólinn í Sandgerði,Grunnskólinn í Sandgerði,Suðurnesjabær,Sandgerðisbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,6,3.1,3.1,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskólinn í Stykkishólmi,Grunnskólinn Stykkishólmi,Sveitarfélagið Stykkishólmur,Stykkishólmsbær,analysis_required,matched_rule,1.000,samband_grunnskolar_excel_alias,8,2.8,2.9,0,,true,true,false,false,"Matched by conservative alias rule: slash, parenthetical, or Grunnskólinn/Grunnskóli variant.",https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskólinn í Þorlákshöfn,Grunnskólinn í Þorlákshöfn,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,23,3.2,3.0,1,18,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Hafralækjarskóli,Hafralækjarskóli / Þingeyjarskóli,Þingeyjarsveit,Þingeyjarsveit,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,7,3.3,3.2,1,6,true,true,true,false,Historical/renamed-school case; current municipality harmonized to Þingeyjarsveit.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Hagaskóli,Hagaskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,148,3.5,3.5,8,139,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Heild,,,,excluded_group_or_aggregate,excluded_group_or_aggregate,1.000,rule,,3.2,3.2,0,,false,true,false,true,Grouped or aggregate source row; no sveitarfelag assigned.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Heiðarskóli - Hvalfjarðarsveit,,Hvalfjarðarsveit,Hvalfjarðarsveit,analysis_required,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,4,,,0,,true,false,false,false,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Heiðarskóli - Reykjanesbæ,,Reykjanesbær,Reykjanesbær,analysis_required,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,31,3.1,3.1,1,25,true,true,true,false,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Hlíðarskóli Akureyri,,Akureyrarbær,Akureyrarkaupstaður,analysis_required,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,1,,,0,,true,false,false,false,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
