year,sveitarfelag_source,sveitarfelag_harmonized,sveitarfelag_harmonization_status,sveitarfelag_harmonization_note,spending_metric,amount_isk,student_count,spend_per_student,spend_per_inhabitant,source_url,source_note,denominator_source_student_count,spend_per_source_student,population_total,spend_per_resident,population_age_6_15,spend_per_resident_age_6_15,denominator_notes
2024,Bláskógabyggð,Bláskógabyggð,unchanged,Already current for project joins.,innri_husaleiga_eignasjodur,68752414,153,449362.18,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,Samband public Excel 'Rekstur grunnskóla eftir stærð skóla 2024'. School-level rows aggregated to municipality level; per-student values are derived from summed municipality amounts divided by summed source student counts. No inhabitant counts were provided by this source.,153,449362.18,1322,52006.36,159,432405.12,"denominator_source_student_count and spend_per_source_student use the Samband school-row student_count source. population_age_6_15 is a municipality population proxy from Hagstofa MAN02005, not exact school enrollment."
2024,Bláskógabyggð,Bláskógabyggð,unchanged,Already current for project joins.,skolaakstur,56287904,153,367894.8,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,Samband public Excel 'Rekstur grunnskóla eftir stærð skóla 2024'. School-level rows aggregated to municipality level; per-student values are derived from summed municipality amounts divided by summed source student counts. No inhabitant counts were provided by this source.,153,367894.8,1322,42577.84,159,354011.97,"denominator_source_student_count and spend_per_source_student use the Samband school-row student_count source. population_age_6_15 is a municipality population proxy from Hagstofa MAN02005, not exact school enrollment."
2024,Bláskógabyggð,Bláskógabyggð,unchanged,Already current for project joins.,kostnadur_brutto,739524712,153,4833494.85,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,Samband public Excel 'Rekstur grunnskóla eftir stærð skóla 2024'. School-level rows aggregated to municipality level; per-student values are derived from summed municipality amounts divided by summed source student counts. No inhabitant counts were provided by this source.,153,4833494.85,1322,559398.42,159,4651098.82,"denominator_source_student_count and spend_per_source_student use the Samband school-row student_count source. population_age_6_15 is a municipality population proxy from Hagstofa MAN02005, not exact school enrollment."
2024,Bláskógabyggð,Bláskógabyggð,unchanged,Already current for project joins.,kostnadur_netto,704915848,153,4607293.12,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,Samband public Excel 'Rekstur grunnskóla eftir stærð skóla 2024'. School-level rows aggregated to municipality level; per-student values are derived from summed municipality amounts divided by summed source student counts. No inhabitant counts were provided by this source.,153,4607293.12,1322,533219.25,159,4433433.01,"denominator_source_student_count and spend_per_source_student use the Samband school-row student_count source. population_age_6_15 is a municipality population proxy from Hagstofa MAN02005, not exact school enrollment."
2024,Bolungarvíkurkaupstaður,Bolungarvíkurkaupstaður,unchanged,No project-local harmonization needed; carried forward as current/source name.,tekjur,-26568388,122,-217773.67,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,Samband public Excel 'Rekstur grunnskóla eftir stærð skóla 2024'. School-level rows aggregated to municipality level; per-student values are derived from summed municipality amounts divided by summed source student counts. No inhabitant counts were provided by this source.,122,-217773.67,989,-26863.89,122,-217773.67,"denominator_source_student_count and spend_per_source_student use the Samband school-row student_count source. population_age_6_15 is a municipality population proxy from Hagstofa MAN02005, not exact school enrollment."
2024,Bolungarvíkurkaupstaður,Bolungarvíkurkaupstaður,unchanged,No project-local harmonization needed; carried forward as current/source name.,laun_og_launtengd_gjold,374627814,122,3070719.79,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,Samband public Excel 'Rekstur grunnskóla eftir stærð skóla 2024'. School-level rows aggregated to municipality level; per-student values are derived from summed municipality amounts divided by summed source student counts. No inhabitant counts were provided by this source.,122,3070719.79,989,378794.55,122,3070719.79,"denominator_source_student_count and spend_per_source_student use the Samband school-row student_count source. population_age_6_15 is a municipality population proxy from Hagstofa MAN02005, not exact school enrollment."
2024,Bolungarvíkurkaupstaður,Bolungarvíkurkaupstaður,unchanged,No project-local harmonization needed; carried forward as current/source name.,annar_kostnadur_samtals,90065726,122,738243.66,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,Samband public Excel 'Rekstur grunnskóla eftir stærð skóla 2024'. School-level rows aggregated to municipality level; per-student values are derived from summed municipality amounts divided by summed source student counts. No inhabitant counts were provided by this source.,122,738243.66,989,91067.47,122,738243.66,"denominator_source_student_count and spend_per_source_student use the Samband school-row student_count source. population_age_6_15 is a municipality population proxy from Hagstofa MAN02005, not exact school enrollment."
2024,Bolungarvíkurkaupstaður,Bolungarvíkurkaupstaður,unchanged,No project-local harmonization needed; carried forward as current/source name.,annar_kostnadur_an_innri_leigu_og_skolaakstur,60378302,122,494904.11,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,Samband public Excel 'Rekstur grunnskóla eftir stærð skóla 2024'. School-level rows aggregated to municipality level; per-student values are derived from summed municipality amounts divided by summed source student counts. No inhabitant counts were provided by this source.,122,494904.11,989,61049.85,122,494904.11,"denominator_source_student_count and spend_per_source_student use the Samband school-row student_count source. population_age_6_15 is a municipality population proxy from Hagstofa MAN02005, not exact school enrollment."
2024,Bolungarvíkurkaupstaður,Bolungarvíkurkaupstaður,unchanged,No project-local harmonization needed; carried forward as current/source name.,innri_husaleiga_eignasjodur,29687424,122,243339.54,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,Samband public Excel 'Rekstur grunnskóla eftir stærð skóla 2024'. School-level rows aggregated to municipality level; per-student values are derived from summed municipality amounts divided by summed source student counts. No inhabitant counts were provided by this source.,122,243339.54,989,30017.62,122,243339.54,"denominator_source_student_count and spend_per_source_student use the Samband school-row student_count source. population_age_6_15 is a municipality population proxy from Hagstofa MAN02005, not exact school enrollment."
2024,Bolungarvíkurkaupstaður,Bolungarvíkurkaupstaður,unchanged,No project-local harmonization needed; carried forward as current/source name.,skolaakstur,0,122,0.0,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,Samband public Excel 'Rekstur grunnskóla eftir stærð skóla 2024'. School-level rows aggregated to municipality level; per-student values are derived from summed municipality amounts divided by summed source student counts. No inhabitant counts were provided by this source.,122,0.0,989,0.0,122,0.0,"denominator_source_student_count and spend_per_source_student use the Samband school-row student_count source. population_age_6_15 is a municipality population proxy from Hagstofa MAN02005, not exact school enrollment."
