source_school_name,normalized_school_name,mapping_priority,canonical_school_name,sveitarfelag,sveitarfelag_source,sveitarfelag_harmonized,sveitarfelag_harmonization_status,sveitarfelag_harmonization_note,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,match_status,match_confidence,match_source,althingi_graduate_count,size_evidence_note,notes
Broddanesskóli,broddanesskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Brúarásskóli,bruarasskoli,analysis_required,Brúarásskóli,Fljótsdalshérað,Fljótsdalshérað,Múlaþing,harmonized,Former municipality; now Múlaþing.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,4,,Exact normalized match.
Brúarskóli,bruarskoli,reference_only,Brúarskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Dalbrautarskóli,dalbrautarskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.800,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Dalskóli,dalskoli,analysis_required,Dalskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,11,,Exact normalized match.
Dalvíkurskóli,dalvikurskoli,analysis_required,Dalvíkurskóli,Dalvíkurbyggð,Dalvíkurbyggð,Dalvíkurbyggð,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,12,,Exact normalized match.
Digranesskóli,digranesskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Djúpavogsskóli,djupavogsskoli,analysis_required,Djúpavogsskóli,Múlaþing (Djúpavogshreppur),Múlaþing (Djúpavogshreppur),Múlaþing,harmonized,Samband school list parenthetical source area collapsed to current municipality.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,2,,Exact normalized match.
Egilsstaðaskóli,egilsstadaskoli,analysis_required,Egilsstaðaskóli,Múlaþing (Fljótsdalshérað),Múlaþing (Fljótsdalshérað),Múlaþing,harmonized,Samband school list parenthetical source area collapsed to current municipality.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,19,,Exact normalized match.
Einholtsskóli,einholtsskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.857,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Engidalsskóli,engidalsskoli,reference_only,Engidalsskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Engjaskóli,engjaskoli,reference_only,Engjaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Eskifjarðarskóli,eskifjardarskoli,analysis_required,Grunnskóli Eskifjarðar,Fjarðabyggð,Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.,true,false,false,true,true,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,2,,Same school/name variant.
Færri en 5 nemendur,faerri en 5 nemendur,excluded_group_or_aggregate,,,,,,,false,true,true,false,false,excluded_group_or_aggregate,1.000,rule,,,Grouped or aggregate source row; no sveitarfelag assigned.
"Fellaskóli, Fellabæ",fellaskoli fellabae,analysis_required,"Fellaskóli, Fellabæ",Fljótsdalshérað,Fljótsdalshérað,Múlaþing,harmonized,Former municipality; now Múlaþing.,true,false,true,false,false,matched_exact,1.000,samband_grunnskolar_excel,5,,Exact normalized match.
Fellaskóli (Fellabæ),fellaskoli fellabae,reference_only,"Fellaskóli, Fellabæ",Fljótsdalshérað,Fljótsdalshérað,Múlaþing,harmonized,Former municipality; now Múlaþing.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
"Fellaskóli, Norðurfelli",fellaskoli nordurfelli,analysis_required,,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,false,true,false,false,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,8,,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.
Fellaskóli (Reykjavík),fellaskoli reykjavik,reference_only,Fellaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_rule,1.000,samband_grunnskolar_excel_alias,,,"Matched by conservative alias rule: slash, parenthetical, or Grunnskólinn/Grunnskóli variant."
Finnbogastaðaskóli,finnbogastadaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Flataskóli,flataskoli,reference_only,Flataskóli,Garðabær,Garðabær,Garðabær,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Fljótshlíðarskóli,fljotshlidarskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.786,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Flóaskóli,floaskoli,analysis_required,Flóaskóli,Flóahreppur,Flóahreppur,Flóahreppur,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,5,,Exact normalized match.
Flúðaskóli,fludaskoli,analysis_required,Flúðaskóli,Hrunamannahreppur,Hrunamannahreppur,Hrunamannahreppur,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,13,,Exact normalized match.
Foldaskóli,foldaskoli,analysis_required,Foldaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,47,,Exact normalized match.
Fossvogsskóli,fossvogsskoli,reference_only,Fossvogsskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Framsýn menntun ehf.,framsyn menntun,analysis_required,NÚ / Framsýn menntun,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,true,false,false,false,false,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,2,,Same entity as NÚ - framsýn menntun.
Gagnfræðaskólinn Ólafsfirði,gagnfraedaskolinn olafsfirdi,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
