source_school_name,normalized_school_name,mapping_priority,canonical_school_name,sveitarfelag,sveitarfelag_source,sveitarfelag_harmonized,sveitarfelag_harmonization_status,sveitarfelag_harmonization_note,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,match_status,match_confidence,match_source,althingi_graduate_count,size_evidence_note,notes
Reykhólaskóli,reykholaskoli,analysis_required,Reykhólaskóli,Reykhólahreppur,Reykhólahreppur,Reykhólahreppur,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,2,,Exact normalized match.
Reykholtsskóli,reykholtsskoli,reference_only,Reykholtsskóli (Bláskógarbyggð),Bláskógabyggð,Bláskógabyggð,Bláskógabyggð,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Reykjahlíðarskóli,reykjahlidarskoli,analysis_required,Reykjahlíðarskóli,Skútustaðahreppur,Skútustaðahreppur,Þingeyjarsveit,harmonized,Former municipality; now Þingeyjarsveit.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,2,,Exact normalized match.
Reykjavík International School,reykjavik international school,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Rimaskóli,rimaskoli,analysis_required,Rimaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,29,,Exact normalized match.
Sæmundarskóli,saemundarskoli,analysis_required,Sæmundarskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,41,,Exact normalized match.
Safamýrarskóli,safamyrarskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.897,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Salaskóli,salaskoli,analysis_required,Salaskóli,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,45,,Exact normalized match.
Sandgerðisskóli,sandgerdisskoli,analysis_required,Grunnskólinn í Sandgerði / Sandgerðisskóli,Suðurnesjabær,Suðurnesjabær,Suðurnesjabær,unchanged,Already current for project joins.,true,true,true,true,true,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,6,,Current municipality harmonized to Suðurnesjabær.
Sandvíkurskóli,sandvikurskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.857,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Selásskóli,selasskoli,reference_only,Selásskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Seljalandsskóli,seljalandsskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.929,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Seljaskóli,seljaskoli,analysis_required,Seljaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,32,,Exact normalized match.
Setbergsskóli,setbergsskoli,analysis_required,Setbergsskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,19,,Exact normalized match.
Seyðisfjarðarskóli,seydisfjardarskoli,analysis_required,Seyðisfjarðarskóli,Seyðisfjarðarkaupstaður,Seyðisfjarðarkaupstaður,Múlaþing,harmonized,Former municipality; now Múlaþing.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,4,,Exact normalized match.
Síðuskóli,siduskoli,analysis_required,Síðuskóli,Akureyrarkaupstaður,Akureyrarkaupstaður,Akureyrarbær,harmonized,Current official municipality name.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,26,,Exact normalized match.
Sjálandsskóli,sjalandsskoli,analysis_required,Sjálandsskóli,Garðabær,Garðabær,Garðabær,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,16,,Exact normalized match.
Skarðshlíðarskóli,skardshlidarskoli,reference_only,Skarðshlíðarskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Skóli Ísaks Jónssonar,skoli isaks jonssonar,reference_only,Skóli Ísaks Jónssonar,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Smáraskóli,smaraskoli,analysis_required,Smáraskóli,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,24,,Exact normalized match.
Snælandsskóli,snaelandsskoli,analysis_required,Snælandsskóli,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,23,,Exact normalized match.
Sólgarðaskóli,solgardaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.870,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Sólvallaskóli,solvallaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.870,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Stapaskóli,stapaskoli,reference_only,Stapaskóli,Reykjanesbær,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Steinsstaðaskóli,steinsstadaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.839,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Stekkjaskóli,stekkjaskoli,reference_only,Stekkjaskóli,Sveitarfélagið Árborg,Sveitarfélagið Árborg,Sveitarfélagið Árborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Stöðvarfjarðarskóli,stodvarfjardarskoli,analysis_required,Breiðdals- og Stöðvarfjarðarskóli,Fjarðabyggð,Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.,true,false,false,false,false,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,4,,Stöðvarfjörður school/site.
Stóru-Vogaskóli,storu vogaskoli,analysis_required,Stóru-Vogaskóli,Sveitarfélagið Vogar,Sveitarfélagið Vogar,Sveitarfélagið Vogar,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,7,,Exact normalized match.
Stórutjarnaskóli,storutjarnaskoli,analysis_required,Stórutjarnaskóli,Þingeyjarsveit,Þingeyjarsveit,Þingeyjarsveit,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,1,,Exact normalized match.
Súðavíkurskóli,sudavikurskoli,analysis_required,Súðavíkurskóli,Súðavík,Súðavík,Súðavíkurhreppur,harmonized,Source place-name form expanded to current municipality name.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,1,,Exact normalized match.
Suðurhlíðarskóli,sudurhlidarskoli,analysis_required,Suðurhlíðaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,false,false,true,true,matched_fuzzy_high_confidence,0.968,samband_grunnskolar_excel,1,,High-confidence fuzzy normalized match; review optional.
Sunnulækjarskóli,sunnulaekjarskoli,analysis_required,Sunnulækjarskóli,Sveitarfélagið Árborg,Sveitarfélagið Árborg,Sveitarfélagið Árborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,41,,Exact normalized match.
Tálknafjarðarskóli,talknafjardarskoli,analysis_required,Tálknafjarðarskóli,Tálknafjarðarhreppur,Tálknafjarðarhreppur,Vesturbyggð,harmonized,Merged into Vesturbyggð.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,5,,Exact normalized match.
Þelamerkurskóli,thelamerkurskoli,analysis_required,Þelamerkurskóli,Hörgársveit,Hörgársveit,Hörgársveit,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,3,,Exact normalized match.
Þingborgarskóli,thingborgarskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Þingeyjarskóli,thingeyjarskoli,reference_only,Þingeyjarskóli,Þingeyjarsveit,Þingeyjarsveit,Þingeyjarsveit,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Þjórsárskóli,thjorsarskoli,reference_only,Þjórsárskóli,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Þykkvabæjarskóli,thykkvabaejarskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Tjarnarskóli,tjarnarskoli,analysis_required,Tjarnarskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,8,,Exact normalized match.
Urriðaholtsskóli,urridaholtsskoli,reference_only,Urriðaholtsskóli,Garðabær,Garðabær,Garðabær,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Vættaskóli,vaettaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.818,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Vættaskóli - Engi,vaettaskoli engi,analysis_required,Vættaskóli - Engi,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,false,false,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,12,,Reykjavík school site.
Valhúsaskóli,valhusaskoli,reference_only,Valhúsaskóli,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,Seltjarnarnesbær,harmonized,Current official municipality name.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Vallaskóli,vallaskoli,analysis_required,Vallaskóli,Sveitarfélagið Árborg,Sveitarfélagið Árborg,Sveitarfélagið Árborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,34,,Exact normalized match.
Valsárskóli,valsarskoli,analysis_required,Valsárskóli,Svalbarðsstrandarhreppur,Svalbarðsstrandarhreppur,Svalbarðsstrandarhreppur,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,1,,Exact normalized match.
Varmahlíðarskóli,varmahlidarskoli,analysis_required,Varmahlíðaskóli,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,unchanged,Already current for project joins.,true,false,true,true,true,matched_fuzzy_high_confidence,0.968,samband_grunnskolar_excel,5,,High-confidence fuzzy normalized match; review optional.
Varmalandsskóli,varmalandsskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.815,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Varmárskóli,varmarskoli,analysis_required,Varmárskóli,Mosfellsbær,Mosfellsbær,Mosfellsbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,52,,Exact normalized match.
Vatnsendaskóli,vatnsendaskoli,analysis_required,Vatnsendaskóli,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,36,,Exact normalized match.
Vesturbæjarskóli,vesturbaejarskoli,reference_only,Vesturbæjarskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Vesturhlíðarskóli,vesturhlidarskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.812,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Víðistaðaskóli,vidistadaskoli,analysis_required,Víðistaðaskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,41,,Exact normalized match.
Víkurskóli,vikurskoli,analysis_required,Víkurskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,false,false,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,29,,"The PDF has a separate “Víkurskóli, Vík í Mýrdal” row, so the plain Víkurskóli row should map to Reykjavíkurborg."
Víkurskóli (Reykjavík),vikurskoli reykjavik,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
"Víkurskóli, Vík í Mýrdal",vikurskoli vik i myrdal,analysis_required,,Mýrdalshreppur,Mýrdalshreppur,Mýrdalshreppur,unchanged,Already current for project joins.,true,false,false,false,false,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,2,,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.
Víkurskóli (Vík í Mýrdal),vikurskoli vik i myrdal,reference_only,,Mýrdalshreppur,Mýrdalshreppur,Mýrdalshreppur,unchanged,Already current for project joins.,false,false,false,true,true,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,,,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.
Villingaholtsskóli,villingaholtsskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.812,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Vogaskóli,vogaskoli,analysis_required,Vogaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,16,,Exact normalized match.
Vopnafjarðarskóli,vopnafjardarskoli,analysis_required,Vopnafjarðarskóli,Vopnafjarðarhreppur,Vopnafjarðarhreppur,Vopnafjarðarhreppur,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,7,,Exact normalized match.
Waldorfskólinn í Lækjarbotnum,waldorfskolinn i laekjarbotnum,analysis_required,Waldorfskólinn Lækjarbotnum,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,true,false,true,false,false,matched_fuzzy_high_confidence,0.966,samband_grunnskolar_excel,5,,High-confidence fuzzy normalized match; review optional.
Waldorfskólinn Lækjarbotnum,waldorfskolinn laekjarbotnum,reference_only,Waldorfskólinn Lækjarbotnum,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Waldorfskólinn Sólstafir,waldorfskolinn solstafir,analysis_required,Waldorfskólinn Sólstafir,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,4,,Exact normalized match.
