grunnskoli,number_of_students,source_url,source_note,page,manual_review
Seyðisfjarðarskóli,4,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Sjálandsskóli,16,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Smáraskóli,24,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Snælandsskóli,23,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Stóru-Vogaskóli,7,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Stórutjarnaskóli,1,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Stöðvarfjarðarskóli,4,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Sunnulækjarskóli,41,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Suðurhlíðarskóli,1,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Sæmundarskóli,41,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Síðuskóli,26,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Súðavíkurskóli,1,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Tjarnarskóli,8,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Tálknafjarðarskóli,5,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Vallaskóli,34,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Valsárskóli,1,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Varmahlíðarskóli,5,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Varmárskóli,52,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Vatnsendaskóli,36,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Vogaskóli,16,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Vopnafjarðarskóli,7,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Vættaskóli - Engi,12,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Víkurskóli,29,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
"Víkurskóli, Vík í Mýrdal",2,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Víðistaðaskóli,41,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Waldorfskólinn Sólstafir,4,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Waldorfskólinn í Lækjarbotnum,5,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Álfhólsskóli,27,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Álftamýrarskóli,9,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Álftanesskóli,30,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Árbæjarskóli,63,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Árskóli,30,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Áslandsskóli,31,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Ölduselsskóli,23,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Öldutúnsskóli,26,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
Þelamerkurskóli,3,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,3,
